roundID,score,movesExec,movesConsid,runtime
1341,30,297,487,0.000955333
1342,27,247,372,0.000905709
1343,38,433,691,0.00167254
1344,21,160,200,0.000502042
1345,36,348,555,0.00111388
1346,18,133,189,0.000440208
1347,36,469,907,0.00155683
1348,30,314,488,0.00095475
1349,16,126,159,0.0003595
1350,28,261,335,0.000936375
1351,37,296,400,0.000933166
1352,37,468,868,0.00158667
1353,46,386,595,0.00147379
1354,25,241,337,0.000689458
1355,41,334,529,0.00104183
1356,28,235,316,0.000744875
1357,31,293,471,0.00110312
1358,33,379,670,0.00117208
1359,25,239,385,0.000699208
1360,42,383,638,0.00136383
1361,35,333,554,0.00116692
1362,32,310,408,0.000966
1363,33,310,468,0.00113708
1364,25,180,240,0.000600625
1365,36,329,543,0.00100546
1366,29,372,619,0.00118592
1367,40,395,662,0.00136462
1368,25,237,323,0.000857542
1369,25,231,338,0.000706791
1370,39,375,625,0.001471
1371,30,341,595,0.00123504
1372,17,149,239,0.000480916
1373,38,283,372,0.00121058
1374,40,425,672,0.00156167
1375,27,268,414,0.000905291
1376,34,339,524,0.00131346
1377,48,583,1030,0.00234933
1378,31,226,311,0.000731541
1379,33,333,502,0.00116279
1380,33,349,545,0.00117492
1381,19,141,201,0.000409542
